matratt_norm,obs,total_kg,svinn_g_p,match_status,matched_nutrition_dish,protein_g,energi_kcal,exclusion_reason
ky wol,1,24.5,42.0,unmatched,,,,fewer_than_2_observations
med. lasagne,1,24.5,41.5,unmatched,,,,fewer_than_2_observations
sv mousaka,1,24.3,39.1,unmatched,,,,fewer_than_2_observations
kyfajitas,1,24.3,41.2,unmatched,,,,fewer_than_2_observations
mustigtomatgryt,1,24.2,72.7,unmatched,,,,fewer_than_2_observations
köttbullar mos,1,24.0,36.2,unmatched,,,,fewer_than_2_observations
vårullar,1,23.9,37.3,unmatched,,,,fewer_than_2_observations
"spagetti,köttfärssås",2,23.9,63.6,unmatched,,,,unmatched_nutrition
cowboysopp,1,23.8,56.7,manual_override,Cowboysoppa,13.8,245.7,fewer_than_2_observations
falafelbiff,2,23.8,37.9,unmatched,,,,unmatched_nutrition
wienerkov.mos,1,23.8,60.1,unmatched,,,,fewer_than_2_observations
köketsval,1,23.4,43.1,unmatched,,,,fewer_than_2_observations
kyckl lasagne,1,23.4,57.2,unmatched,,,,fewer_than_2_observations
"wienwrk,makaro",1,23.3,64.9,unmatched,,,,fewer_than_2_observations
"potbull, korv",1,23.2,43.6,unmatched,,,,fewer_than_2_observations
kycklingfajitas,4,23.2,40.6,unmatched,,,,unmatched_nutrition
veg paprikasås pasta,1,23.1,64.3,unmatched,,,,fewer_than_2_observations
currysoppa,1,23.1,41.7,unmatched,,,,fewer_than_2_observations
thaigryta med kyckling,1,23.0,38.9,unmatched,,,,fewer_than_2_observations
lasangette,1,23.0,44.1,unmatched,,,,fewer_than_2_observations
kyckling curry,5,22.9,37.8,unmatched,,,,unmatched_nutrition
"fiskburgare,mos",2,22.8,39.3,unmatched,,,,unmatched_nutrition
kalkonsz,1,22.7,47.8,unmatched,,,,fewer_than_2_observations
paneradfisk,1,22.7,56.3,unmatched,,,,fewer_than_2_observations
pasta gratäng,2,22.7,23.4,unmatched,,,,unmatched_nutrition
"sprödb,fisk",1,22.3,48.9,unmatched,,,,fewer_than_2_observations
pullrdpork,1,22.3,39.8,unmatched,,,,fewer_than_2_observations
"pasta,skinksås",2,22.2,42.0,unmatched,,,,unmatched_nutrition
kalkonsnitzel,1,22.0,32.9,unmatched,,,,fewer_than_2_observations
ärtsopppa,1,22.0,35.2,unmatched,,,,fewer_than_2_observations
nasigroreng,1,22.0,37.2,unmatched,,,,fewer_than_2_observations
corfnflakesfisk,1,22.0,35.3,unmatched,,,,fewer_than_2_observations
fiskgratänf,1,22.0,45.0,unmatched,,,,fewer_than_2_observations
pasta bacosås,1,22.0,33.5,unmatched,,,,fewer_than_2_observations
ky lasagne,1,21.9,36.7,unmatched,,,,fewer_than_2_observations
lasagnette veg,1,21.8,62.3,unmatched,,,,fewer_than_2_observations
minestronesop,1,21.8,53.8,manual_override,Minestronesoppa ÄO,9.8,342.5,fewer_than_2_observations
kr wok,1,21.6,33.4,unmatched,,,,fewer_than_2_observations
potbullar,2,21.6,33.9,unmatched,,,,unmatched_nutrition
veg sås,1,21.5,44.9,unmatched,,,,fewer_than_2_observations
spag. köttf.sås,1,21.4,36.2,unmatched,,,,fewer_than_2_observations
ostgratinerad korv,2,21.4,21.3,unmatched,,,,unmatched_nutrition
"köttbullar,pasta",1,21.3,46.2,unmatched,,,,fewer_than_2_observations
blandat,1,21.3,35.2,unmatched,,,,fewer_than_2_observations
ky gryta,1,21.3,37.2,unmatched,,,,fewer_than_2_observations
kycklingkorvgryta,6,21.2,23.6,unmatched,,,,unmatched_nutrition
sweetchilifisk,2,21.1,39.6,unmatched,,,,unmatched_nutrition
hetsås,1,21.1,43.5,unmatched,,,,fewer_than_2_observations
korvstroga,1,21.1,47.6,unmatched,,,,fewer_than_2_observations
spaghetti köttfärsssås,1,21.0,39.8,unmatched,,,,fewer_than_2_observations
veg chili con carne,1,21.0,35.5,unmatched,,,,fewer_than_2_observations
"grat,sej ,pot",1,21.0,52.5,unmatched,,,,fewer_than_2_observations
korv.mos,6,20.9,27.2,unmatched,,,,unmatched_nutrition
pasta broccolis,1,20.9,47.2,unmatched,,,,fewer_than_2_observations
nasigor,1,20.8,62.1,unmatched,,,,fewer_than_2_observations
järpar sås pot,1,20.7,46.1,unmatched,,,,fewer_than_2_observations
blomk soppa,1,20.5,89.5,unmatched,,,,fewer_than_2_observations
fajita,1,20.5,46.3,unmatched,,,,fewer_than_2_observations
"spaghetti, köttfärssås",3,20.4,35.3,unmatched,,,,unmatched_nutrition
"fisk,remou",1,20.3,52.2,unmatched,,,,fewer_than_2_observations
köttf limpa,1,20.3,36.8,unmatched,,,,fewer_than_2_observations
lillsnitzel,1,20.0,34.7,unmatched,,,,fewer_than_2_observations
chilifisk,1,20.0,40.3,unmatched,,,,fewer_than_2_observations
spaghetti och köttfärsås,1,20.0,35.7,unmatched,,,,fewer_than_2_observations
"spagetti,köttfä",1,20.0,42.6,unmatched,,,,fewer_than_2_observations
hamburgare med bröd,1,20.0,36.0,unmatched,,,,fewer_than_2_observations
"köttbullar,pot",1,20.0,35.7,unmatched,,,,fewer_than_2_observations
fiskrätt,4,19.9,27.2,unmatched,,,,unmatched_nutrition
kassler m chili,1,19.9,41.4,unmatched,,,,fewer_than_2_observations
sprödb fisk,1,19.5,43.7,unmatched,,,,fewer_than_2_observations
"pasta,sås",2,19.3,27.9,unmatched,,,,unmatched_nutrition
kababpytt,1,19.0,39.6,unmatched,,,,fewer_than_2_observations
torsk med dillsås,1,19.0,36.0,unmatched,,,,fewer_than_2_observations
het tomatgryta,1,19.0,36.3,unmatched,,,,fewer_than_2_observations
"kyckling,sås pot",1,19.0,37.8,unmatched,,,,fewer_than_2_observations
blomkålssoppa,4,18.9,23.0,unmatched,,,,unmatched_nutrition
"kyckl,curry",1,18.8,69.6,unmatched,,,,fewer_than_2_observations
torsk,2,18.8,25.0,unmatched,,,,unmatched_nutrition
frasigburgare,1,18.6,46.2,unmatched,,,,fewer_than_2_observations
"kyckl,wok",1,18.4,49.3,unmatched,,,,fewer_than_2_observations
"falukorv,mos",2,18.3,25.1,unmatched,,,,unmatched_nutrition
pasta sallad,2,18.1,18.0,unmatched,,,,unmatched_nutrition
fisk kall sås,1,18.0,37.5,unmatched,,,,fewer_than_2_observations
fisk spenat,1,18.0,32.1,unmatched,,,,fewer_than_2_observations
"kcykling,pot",1,18.0,32.1,unmatched,,,,fewer_than_2_observations
"skinkstek,pot,sås",1,18.0,41.7,unmatched,,,,fewer_than_2_observations
"blomkål, broccolisoppa",1,18.0,34.9,unmatched,,,,fewer_than_2_observations
korv potatismos,1,18.0,33.1,unmatched,,,,fewer_than_2_observations
kött o grönsakssoppa,1,18.0,37.5,unmatched,,,,fewer_than_2_observations
